conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,year,intensity_level
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Congo, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)","Ansar Dine, AQIM","1157, 539",,2016,1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)","AQIM, JNIM","539, 6716",,2017,1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of New Zealand, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America",JNIM,6716,,2018,1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of Ukraine, Government of United Kingdom, Government of United States of America",JNIM,6716,,2019,1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Australia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Iran, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Ukraine, Government of United Kingdom, Government of United States of America, Government of Zambia",JNIM,6716,,2020,1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Australia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Iran, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Luxembourg, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of Ukraine, Government of United Kingdom, Government of United States of America, Government of Zambia",JNIM,6716,,2021,1
11348,"South Sudan, Sudan",Government of South Sudan,113,,Government of Sudan,112,,2012,1
11349,China,Government of China,135,,ETIM,1156,,2008,1
11350,Bangladesh,Government of Bangladesh,143,,"PBCP, PBCP-J","1165, 805",,2005,1
11350,Bangladesh,Government of Bangladesh,143,,PBCP-J,1165,,2006,1
11447,Ethiopia,Government of Ethiopia,97,,IGLF,1115,,1991,1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1991,1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,1995,1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,2000,1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,2001,1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,2005,1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,2006,1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,,NSCN-K,224,,2007,1
11487,Malaysia,Government of Malaysia,152,,Sultanate of Sulu,4006,,2013,1
11884,Hyderabad,Government of Hyderabad,2,,CPI,178,,1947,2
11884,Hyderabad,Government of Hyderabad,2,,CPI,178,,1948,2
13042,Syria,Government of Syria,118,,PYD,4163,,2012,1
13042,Syria,Government of Syria,118,,PYD,4163,,2013,1
13042,Syria,Government of Syria,118,,PYD,4163,,2014,1
13042,Syria,Government of Syria,118,,PYD,4163,,2015,1
13219,Ukraine,Government of Ukraine,61,,Maidan,5817,,2014,1
13246,Ukraine,Government of Ukraine,61,,DPR,5840,Government of Russia (Soviet Union),2014,2
13247,Ukraine,Government of Ukraine,61,,LPR,5839,Government of Russia (Soviet Union),2014,2
13306,Ukraine,Government of Ukraine,61,,United Armed Forces of Novorossiya,5914,Government of Russia (Soviet Union),2014,2
13306,Ukraine,Government of Ukraine,61,,"DPR, LPR, United Armed Forces of Novorossiya","5914, 6711, 6712",Government of Russia (Soviet Union),2015,2
13306,Ukraine,Government of Ukraine,61,,"DPR, LPR","6711, 6712",Government of Russia (Soviet Union),2016,1
13306,Ukraine,Government of Ukraine,61,,"DPR, LPR","6711, 6712",Government of Russia (Soviet Union),2017,1
13306,Ukraine,Government of Ukraine,61,,"DPR, LPR","6711, 6712",Government of Russia (Soviet Union),2018,1
13306,Ukraine,Government of Ukraine,61,,"DPR, LPR","6711, 6712",Government of Russia (Soviet Union),2019,1
13306,Ukraine,Government of Ukraine,61,,"DPR, LPR","6711, 6712",Government of Russia (Soviet Union),2020,1
13306,Ukraine,Government of Ukraine,61,,"DPR, LPR","6711, 6712",Government of Russia (Soviet Union),2021,1
13324,"Kyrgyzstan, Tajikistan",Government of Kyrgyzstan,132,,Government of Tajikistan,131,,2021,1
13588,Russia (Soviet Union),Government of Russia (Soviet Union),57,,IS,234,,2015,1
13588,Russia (Soviet Union),Government of Russia (Soviet Union),57,,IS,234,,2016,1
13588,Russia (Soviet Union),Government of Russia (Soviet Union),57,,IS,234,,2017,1
13588,Russia (Soviet Union),Government of Russia (Soviet Union),57,,IS,234,,2018,1
13588,Russia (Soviet Union),Government of Russia (Soviet Union),57,,IS,234,,2019,1
13588,Russia (Soviet Union),Government of Russia (Soviet Union),57,,IS,234,,2020,1
13604,Syria,Government of Syria,118,,IS,234,,2013,2
13604,Syria,Government of Syria,118,,IS,234,,2014,2
13604,Syria,Government of Syria,118,"Government of Iran, Government of Russia (Soviet Union)",IS,234,,2015,2
13604,Syria,Government of Syria,118,"Government of Iran, Government of Russia (Soviet Union)",IS,234,,2016,2
13604,Syria,Government of Syria,118,"Government of Iran, Government of Russia (Soviet Union)",IS,234,,2017,2
13604,Syria,Government of Syria,118,"Government of Iran, Government of Russia (Soviet Union)",IS,234,,2018,2
13604,Syria,Government of Syria,118,"Government of Iran, Government of Russia (Soviet Union)",IS,234,,2019,1
13604,Syria,Government of Syria,118,"Government of Iran, Government of Russia (Soviet Union)",IS,234,,2020,2
13604,Syria,Government of Syria,118,"Government of Iran, Government of Russia (Soviet Union)",IS,234,,2021,1
13611,Mali,Government of Mali,72,,FLM,6267,,2015,1
13637,Afghanistan,Government of Afghanistan,130,"Government of Pakistan, Government of United States of America",IS,234,,2015,1
13637,Afghanistan,Government of Afghanistan,130,"Government of Pakistan, Government of United States of America",IS,234,,2016,2
13637,Afghanistan,Government of Afghanistan,130,Government of United States of America,IS,234,,2017,2
13637,Afghanistan,Government of Afghanistan,130,Government of United States of America,IS,234,,2018,2
13637,Afghanistan,Government of Afghanistan,130,Government of United States of America,IS,234,,2019,2
13637,Afghanistan,Government of Afghanistan,130,Government of United States of America,IS,234,,2020,1
13637,Afghanistan,Government of Afghanistan,130,Government of United States of America,IS,234,,2021,1
13638,Cameroon,Government of Cameroon,83,Government of Chad,IS,234,,2015,1
13638,Cameroon,Government of Cameroon,83,,IS,234,,2016,1
13638,Cameroon,Government of Cameroon,83,Government of Chad,IS,234,,2019,1
13638,Cameroon,Government of Cameroon,83,Government of Nigeria,IS,234,,2021,1
13639,Niger,Government of Niger,75,Government of Chad,IS,234,,2015,1
13639,Niger,Government of Niger,75,"Government of Chad, Government of Nigeria",IS,234,,2016,1
13639,Niger,Government of Niger,75,"Government of Chad, Government of France, Government of United States of America",IS,234,,2017,1
13639,Niger,Government of Niger,75,"Government of France, Government of United States of America",IS,234,,2018,1
13639,Niger,Government of Niger,75,"Government of Chad, Government of France, Government of United States of America",IS,234,,2019,1
13639,Niger,Government of Niger,75,"Government of Chad, Government of France, Government of United States of America",IS,234,,2020,1
13639,Niger,Government of Niger,75,"Government of Chad, Government of France, Government of United States of America",IS,234,,2021,1
13640,Chad,Government of Chad,87,,IS,234,,2015,1
13640,Chad,Government of Chad,87,,IS,234,,2017,1
13640,Chad,Government of Chad,87,,IS,234,,2018,1
13640,Chad,Government of Chad,87,,IS,234,,2019,1
13640,Chad,Government of Chad,87,,IS,234,,2020,1
13640,Chad,Government of Chad,87,,IS,234,,2021,1
13641,Nigeria,Government of Nigeria,84,"Government of Cameroon, Government of Chad, Government of Niger",IS,234,,2015,2
13641,Nigeria,Government of Nigeria,84,"Government of Cameroon, Government of Chad, Government of Niger",IS,234,,2016,2
13641,Nigeria,Government of Nigeria,84,Government of Chad,IS,234,,2017,1
13641,Nigeria,Government of Nigeria,84,"Government of Cameroon, Government of Chad, Government of Niger",IS,234,,2018,1
13641,Nigeria,Government of Nigeria,84,"Government of Cameroon, Government of Chad, Government of Niger",IS,234,,2019,2
13641,Nigeria,Government of Nigeria,84,"Government of Cameroon, Government of Chad, Government of Niger",IS,234,,2020,2
13641,Nigeria,Government of Nigeria,84,"Government of Cameroon, Government of Chad, Government of Niger",IS,234,,2021,2
13645,Yemen (North Yemen),Government of Yemen (North Yemen),123,,IS,234,,2015,1
13645,Yemen (North Yemen),Government of Yemen (North Yemen),123,,IS,234,,2017,1
13645,Yemen (North Yemen),Government of Yemen (North Yemen),123,,IS,234,,2020,1
13646,Kenya,Government of Kenya,91,,Al-Shabaab,717,,2015,1
13646,Kenya,Government of Kenya,91,,Al-Shabaab,717,,2016,1
13646,Kenya,Government of Kenya,91,,Al-Shabaab,717,,2017,1
13646,Kenya,Government of Kenya,91,,Al-Shabaab,717,,2018,1
13646,Kenya,Government of Kenya,91,Government of United States of America,Al-Shabaab,717,,2019,1
13646,Kenya,Government of Kenya,91,Government of United States of America,Al-Shabaab,717,,2020,1
13646,Kenya,Government of Kenya,91,Government of United States of America,Al-Shabaab,717,,2021,1
13648,Egypt,Government of Egypt,117,,IS,234,,2015,1
13648,Egypt,Government of Egypt,117,,IS,234,,2016,1
13648,Egypt,Government of Egypt,117,,IS,234,,2017,1
13648,Egypt,Government of Egypt,117,,IS,234,,2018,1
13648,Egypt,Government of Egypt,117,,IS,234,,2019,1
13648,Egypt,Government of Egypt,117,,IS,234,,2020,1
13648,Egypt,Government of Egypt,117,,IS,234,,2021,1
13653,India,Government of India,141,,UNLFW,6320,,2015,1
13653,India,Government of India,141,,UNLFW,6320,,2016,1
13653,India,Government of India,141,,UNLFW,6320,,2017,1
13653,India,Government of India,141,,UNLFW,6320,,2018,1
13674,Bangladesh,Government of Bangladesh,143,,IS,234,,2016,1
13674,Bangladesh,Government of Bangladesh,143,,IS,234,,2017,1
13675,Lebanon,Government of Lebanon,119,,IS,234,,2014,1
13675,Lebanon,Government of Lebanon,119,,IS,234,,2015,1
13675,Lebanon,Government of Lebanon,119,,IS,234,,2017,1
13692,"Afghanistan, United Kingdom, United States of America",Government of Afghanistan,130,,"Government of United Kingdom, Government of United States of America","28, 3",,2001,2
13694,Libya,Government of Libya,111,,IS,234,,2015,1
13694,Libya,Government of Libya,111,Government of United States of America,IS,234,,2016,2
13694,Libya,Government of Libya,111,Government of United States of America,IS,234,,2017,1
13694,Libya,Government of Libya,111,Government of United States of America,IS,234,,2018,1
13694,Libya,Government of Libya,111,Government of United States of America,IS,234,,2019,1
13721,Algeria,Government of Algeria,109,,IS,234,,2015,1
13809,Syria,Government of Syria,118,,SDF,6288,,2016,1
13809,Syria,Government of Syria,118,,SDF,6288,,2018,1
13840,Burkina Faso,Government of Burkina Faso,78,Government of France,IS,234,,2019,1
13840,Burkina Faso,Government of Burkina Faso,78,Government of France,IS,234,,2020,1
13840,Burkina Faso,Government of Burkina Faso,78,"Government of Chad, Government of France, Government of Niger",IS,234,,2021,1
13886,Jordan,Government of Jordan,120,,IS,234,,2016,1
13902,Turkey,Government of Turkey,115,,IS,234,,2015,1
13902,Turkey,Government of Turkey,115,,IS,234,,2016,2
13902,Turkey,Government of Turkey,115,,IS,234,,2017,1
13936,Pakistan,Government of Pakistan,142,,IS,234,,2016,1
13936,Pakistan,Government of Pakistan,142,,IS,234,,2017,1
13936,Pakistan,Government of Pakistan,142,,IS,234,,2018,1
13936,Pakistan,Government of Pakistan,142,,IS,234,,2019,1
13936,Pakistan,Government of Pakistan,142,,IS,234,,2021,1
14074,Somalia,Government of Somalia,95,,Republic of Somaliland,675,,2018,1
14113,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)",IS,234,,2017,1
14113,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of New Zealand, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America",IS,234,,2018,1
14113,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of Ukraine, Government of United Kingdom, Government of United States of America",IS,234,,2019,1
14113,Mali,Government of Mali,72,"Government of Armenia, Government of Australia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Iran, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Ukraine, Government of United Kingdom, Government of United States of America, Government of Zambia",IS,234,,2020,1
14113,Mali,Government of Mali,72,"Government of Armenia, Government of Australia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Iran, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Luxembourg, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of Ukraine, Government of United Kingdom, Government of United States of America, Government of Zambia",IS,234,,2021,1
14129,Cameroon,Government of Cameroon,83,,Ambazonia insurgents,7332,,2017,1
14129,Cameroon,Government of Cameroon,83,,Ambazonia insurgents,7332,,2018,1
14129,Cameroon,Government of Cameroon,83,,Ambazonia insurgents,7332,,2019,1
14129,Cameroon,Government of Cameroon,83,,Ambazonia insurgents,7332,,2020,1
14129,Cameroon,Government of Cameroon,83,,Ambazonia insurgents,7332,,2021,1
14197,Somalia,Government of Somalia,95,Government of United States of America,IS,234,,2019,1
14197,Somalia,Government of Somalia,95,Government of United States of America,IS,234,,2020,1
14197,Somalia,Government of Somalia,95,,IS,234,,2021,1
14268,Iran,Government of Iran,114,,IS,234,,2017,1
14275,Philippines,Government of Philippines,154,,IS,234,,2016,1
14275,Philippines,Government of Philippines,154,,IS,234,,2017,2
14275,Philippines,Government of Philippines,154,,IS,234,,2018,1
14275,Philippines,Government of Philippines,154,,IS,234,,2019,1
14275,Philippines,Government of Philippines,154,,IS,234,,2020,1
14275,Philippines,Government of Philippines,154,,IS,234,,2021,1
14333,Tunisia,Government of Tunisia,110,,IS,234,,2016,1
14609,"Iran, Israel",Government of Iran,114,,Government of Israel,121,,2018,1
14609,"Iran, Israel",Government of Iran,114,,Government of Israel,121,,2019,1
